gvkey,conm,suggested_ticker,yahoo_score
050708,TOPPOINT HOLDINGS INC,TOPP,20001.0
024625,TOTALENERGIES SE,TTE,20015.0
074422,TURN THERAPEUTICS INC,TTRX,20003.0
038263,TWENTY ONE CAPITAL INC,XXI,20003.0
045723,VENTURE GLOBAL INC,VG,20033.0
061461,VIA TRANSPORTATION INC,C0I.F,20005.0
051841,VIEWBIX INC,VBIX,20010.0
039268,VISIONWAVE HOLDINGS INC,VWAV,20030.0
051747,VOYAGER TECHNOLOGIES INC,VOYG,20004.0
036512,VROOM INC,VRM,20023.0
074529,WATERBRIDGE INFRASTRCTRE LLC,VRT,20166.0
074646,WEALTHFRONT CORP,WLTH,20004.0
041278,WEBULL CORP,BULL,20010.0
050437,WELLGISTICS HEALTH INC,WGRX,20003.0
042007,WETOUR ROBOTICS LTD,ZIM,22260.0
043573,WF INTERNATIONAL LTD,ZIM,22260.0
060791,WHITEFIBER INC,WYFI,20008.0
051645,WINCHESTER BANCORP INC,WSBK,20003.0
039574,XCF GLOBAL INC,SAFX,20014.0
050678,YUANBAO INC -ADR,ETHB,100002.0
050992,ZENTA GROUP CO LTD,HG=F,3007300.0
