gvkey,conm,latest_observed_date,risk_window,pred_risk_next_12m
007116,MATTEL INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0030560105
065944,ASSERTIO HOLDINGS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0030524852
149082,WESTWOOD HOLDINGS GROUP INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0030434886
343180,T1 ENERGY INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0030399822
162892,MEDICINOVA INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0030387768
039067,RYAN SPECIALTY HOLDINGS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0030387768
101973,TORM PLC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0030375002
149721,TRAVELZOO,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0030311504
043113,SHARKNINJA INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0030217222
045167,SOLVENTUM CORP,2025-12-31,Apr 2026 → Apr 2027 (approx),0.003015249
032749,ENTERA BIO LTD,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0030135165
024678,HORACE MANN EDUCATORS CORP,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0030079873
035056,ALCON INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0030065905
006135,ENBRIDGE INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0030045202
031453,INSIGHT ENTERPRISES INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0030044543
170920,ASPEN GROUP INC,2025-04-30,Apr 2026 → Apr 2027 (approx),0.0030044387
050884,SKYCORP SOLAR GROUP LTD,2025-09-30,Apr 2026 → Apr 2027 (approx),0.0029962969
001045,AMERICAN AIRLINES GROUP INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0029930337
012304,DLH HOLDINGS CORP,2025-09-30,Apr 2026 → Apr 2027 (approx),0.0029890253
035832,EHANG HOLDINGS LIMITED,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0029860456
033997,ETON PHARMACEUTICALS,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0029815047
066285,HERITAGE FINANCIAL CORP,2025-12-31,Apr 2026 → Apr 2027 (approx),0.002977915
017826,NEXGEN ENERGY LTD,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0029708305
024724,LIBERTY LATIN AMERICA LTD,2025-12-31,Apr 2026 → Apr 2027 (approx),0.002965106
024116,FIRSTSERVICE CORP,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0029647972
122172,ZIFF DAVIS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0029619725
028349,ALLSTATE CORP,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0029565895
024291,DINE BRANDS GLOBAL INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0029544649
019647,LENDINGCLUB CORP,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0029514004
